mlbam_id,name,season,birth_date,throws,team,G,GS,IP,K,BB,ER,H,HR,CG,SHO,BS,SV,HLD,W,L,ERA,WHIP,BF,pitches,QS,k_minus_bb,whiff_pct_adv,pitches_per_ip,gb_pct,babip,pts,pts_gs,pts_ip,age,is_sp,nkey,player_age,pa_savant,k_percent,bb_percent,xba,xslg,woba,xwoba,xera,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,in_zone_percent,edge_percent,meatball_percent,meatball_swing_percent,whiff_percent,swing_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pull_percent,swing_take_run_value,pitch_run_value_fastball,pitch_run_value_breaking,pitch_run_value_offspeed,pitch_count,pitch_count_fastball,pitch_count_breaking,pitch_count_offspeed,p_quality_start,p_era,throws_sv,n_pitches_10,arsenal_whiff,arsenal_putaway,arsenal_xwoba,arsenal_rv100,best_pitch_whiff,best_pitch_rv100,n_plus_pitches,best_pitch,arsenal_desc,fb_velo,ff_avg_speed,si_avg_speed,movement_uniqueness,sp_rank,il_days,il_stints,il_days_3yr,il_60,il_reasons,il_days_w,stuff_plus,location_plus,pitching_plus,pitching_plus_raw,career_best_gs,seasons_10gs,career_GS,gap_to_best,yoy_stuff_change,yoy_velo_change,BI,track3,ip_gs_last,comeback,proj_pts_gs_raw,age_step,proj_pts_gs,proj_GS,durability,proj_pts,proj_rank,proj_rank_gs,owner,proj_pts_hitting,proj_pts_total,KSV,KSV_2nd,proj_sd,rank_lo,rank_hi,n_tied,keep_tier,kept_2026_as,team_rank
808967,Yoshinobu Yamamoto,2026,1998-08-17,R,Los Angeles Dodgers,27,27,179.0,178,41,50,114,19,1,0,0,0,0,14,8,2.51,0.87,682,2646,21,0.201,0.28,14.78,0.0,0.217,401.0,14.851851851851851,2.2402234636871508,27.9,True,yoshinobu yamamoto,27.0,682.0,26.1,6.0,0.211,0.334,0.241,0.266,2.95,0.265,0.123,0.289,0.326,87.8,9.3,29.3,6.6,36.0,76.255892267,66.4,17.8,33.4,46.9,53.1,82.2,48.2,44.9,6.7,75.7,28.0,49.3,62.5,48.1,23.2,21.7,7.0,43.1,43.0,28.494586661489166,7.132090795584953,7.133423314388408,2646.0,1436.0,506.0,704.0,21.0,2.51,R,5.0,27.418018012103996,21.62282282408715,0.27634534533125915,1.4958958958204451,33.8,2.3,5.0,4-Seam Fastball,"4-Seam Fastball 27% (29% whiff), Split-Finger 27% (34% whiff), Cutter 15% (24% whiff), Curveball 13% (25% whiff), Sinker 12% (13% whiff), Slider 6% (33% whiff)",96.1,96.1,95.5,2.616281803593699,7.0,0.0,0.0,0.0,0.0,,0.0,112.7,114.8,114.4,11.781288354197416,14.851851851851851,3,75,0.0,-2.200000000000003,0.6999999999999886,0.3,12.972268896606845,6.63,False,12.21409738680377,-0.05640270998662773,12.157694676817142,26.0,1.0,316.0,10,18,BAMBI,0.0,316.0,74.0,89.0,107.0,4.0,92.0,30.0,clear keep,,1.0
605483,Blake Snell,2026,1992-12-04,L,Los Angeles Dodgers,8,8,38.666666666666664,52,16,8,26,0,0,0,0,0,0,4,1,1.86,1.09,157,664,4,0.229,0.359,17.17,0.0,0.299,98.66666666666666,12.333333333333332,2.5517241379310343,33.6,True,blake snell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,33.622998887859076,21.569109356587003,0.226104847782058,1.8828635851763347,45.3,2.3,3.0,Curveball,"4-Seam Fastball 49% (24% whiff), Curveball 22% (45% whiff), Changeup 18% (45% whiff)",,,,3.8127131812437214,179.0,135.0,2.0,374.0,0.0,,259.2,,,,,,5,122,,,,8.8,14.544636848647299,,False,14.174787465365748,-0.4136198732352708,13.761167592130477,21.0,1.0,289.0,17,2,BAMBI,0.0,289.0,47.0,62.0,100.0,7.0,111.0,44.0,clear keep,,2.0
800048,Parker Messick,2026,2000-10-26,L,Cleveland Guardians,30,30,178.33333333333334,186,47,51,138,17,0,0,0,0,0,12,9,2.57,1.04,711,2788,14,0.195,0.26,15.63,0.0,0.267,369.33333333333337,12.311111111111112,2.0710280373831775,25.7,True,parker messick,25.0,711.0,26.2,6.6,0.222,0.339,0.27,0.273,3.11,0.276,0.117,0.332,0.336,87.4,14.5,31.4,5.1,33.8,76.073212155,67.1,18.2,31.5,40.9,59.1,81.8,47.5,41.4,6.9,76.0,26.0,48.4,60.8,44.9,22.2,21.9,11.0,36.3,30.0,36.41766485757121,-10.732102577496855,3.8635127231698636,2788.0,1713.0,424.0,651.0,14.0,2.57,L,3.0,24.701687751151436,19.770253141190647,0.27289662464400516,1.2303797418228914,35.9,2.9,3.0,Sinker,"4-Seam Fastball 41% (26% whiff), Changeup 23% (36% whiff), Sinker 15% (9% whiff), Curveball 9% (11% whiff), Slider 6% (29% whiff)",94.3,94.3,92.7,4.166654331425906,13.0,0.0,0.0,0.0,0.0,,0.0,108.3,102.6,108.7,10.953895967522916,12.311111111111112,1,37,0.0,,,4.2,11.755618176194531,5.94,False,11.300903782484445,0.0814705810917958,11.382374363576242,25.0,1.0,285.0,18,29,BAMBI,0.0,285.0,43.0,58.0,99.0,8.0,116.0,48.0,clear keep,,3.0
691587,Eury Pérez,2026,2003-04-15,R,Miami Marlins,28,28,149.0,159,67,69,123,20,0,0,0,0,0,7,11,4.17,1.28,628,2554,11,0.146,0.287,17.14,0.0,0.277,283.0,10.107142857142858,1.8993288590604027,23.2,True,eury perez,23.0,628.0,25.3,10.7,0.22,0.394,0.316,0.317,4.27,0.316,0.174,0.368,0.37,88.5,19.3,33.2,10.5,39.5,76.929307846,73.6,21.8,31.7,42.0,58.0,78.2,45.7,40.1,7.4,80.3,28.7,50.8,60.7,39.0,28.3,21.4,11.2,40.3,0.0,-1.0765361343961244,5.088608992784475,-3.5607969268776016,2554.0,1406.0,932.0,216.0,11.0,4.17,R,4.0,29.419180834150765,19.043356635504356,0.30908291704745505,0.09870129741038187,43.6,0.7,3.0,Sweeper,"4-Seam Fastball 38% (23% whiff), Sinker 18% (16% whiff), Slider 17% (44% whiff), Sweeper 13% (41% whiff), Changeup 9% (44% whiff), Curveball 6% (24% whiff)",98.2,98.2,97.7,7.016560780731426,46.0,26.0,1.0,320.0,0.0,,146.89999999999998,116.1,91.1,114.3,11.768034539093746,10.107142857142858,3,67,0.0,2.5,0.29999999999999716,3.6,10.392637473749806,5.32,False,11.080032565970694,0.2381447754990953,11.318177341469788,22.0,1.0,249.0,32,30,BAMBI,0.0,249.0,7.0,22.0,89.0,12.0,139.0,74.0,marginal,,4.0
666142,Cole Ragans,2026,1997-12-12,L,Kansas City Royals,8,8,35.333333333333336,45,23,19,27,10,0,0,0,0,0,1,4,4.84,1.42,151,639,3,0.146,0.317,18.08,0.0,0.233,73.33333333333334,9.166666666666668,2.0754716981132075,28.5,True,cole ragans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.899999999999995,26.7,0.312,1.2,30.9,1.2,1.0,4-Seam Fastball,4-Seam Fastball 56% (31% whiff),,,,6.442319744904703,203.0,142.0,1.0,259.0,1.0,,212.2,,,,,,3,74,,,,8.3,12.750338607347432,,False,12.563529671001442,-0.0940045166443797,12.469525154357061,18.0,1.0,224.0,49,10,BAMBI,0.0,224.0,-18.0,-3.0,83.0,18.0,156.0,87.0,let go,,5.0
675512,Troy Melton,2026,2000-12-03,R,Detroit Tigers,20,20,114.33333333333333,94,37,35,92,13,0,0,0,0,0,8,5,2.76,1.13,470,1773,9,0.121,0.234,15.51,0.0,0.248,209.33333333333331,10.466666666666665,1.8309037900874634,25.6,True,troy melton,25.0,470.0,20.0,7.9,0.239,0.369,0.294,0.302,3.84,0.31,0.13,0.323,0.335,88.9,13.9,31.3,6.0,38.3,78.528408485,69.1,13.4,31.6,43.6,56.4,86.6,48.1,41.8,7.1,72.0,23.4,49.6,60.4,43.4,23.2,24.7,8.7,42.8,7.0,10.40696000037606,-2.2769762676067486,-0.9619859082049121,1773.0,1129.0,444.0,200.0,9.0,2.76,R,4.0,24.183900012396595,18.8428000095432,0.297523999931856,0.5652000002087999,35.1,2.8,2.0,Cutter,"4-Seam Fastball 32% (18% whiff), Cutter 22% (20% whiff), Slider 17% (33% whiff), Changeup 12% (31% whiff), Sinker 9% (20% whiff), Curveball 8% (35% whiff)",96.4,96.4,95.7,3.5219950477385376,91.0,75.0,1.0,75.0,1.0,,75.0,101.9,100.7,101.9,9.97575866212695,10.466666666666665,1,24,0.0,,,1.5,10.141533150319768,5.72,False,10.144476768455709,0.08773754886808764,10.232214317323796,19.0,1.0,194.0,82,62,BAMBI,0.0,194.0,-48.0,-33.0,75.0,29.0,176.0,102.0,let go,,6.0
702056,Trey Yesavage,2026,2003-07-28,R,Toronto Blue Jays,18,18,93.66666666666667,91,46,38,61,10,0,0,0,0,0,5,5,3.65,1.14,386,1549,7,0.117,0.3,16.54,0.0,0.218,174.66666666666669,9.703703703703704,1.8647686832740216,22.9,True,trey yesavage,22.0,386.0,23.6,11.9,0.2,0.33,0.28,0.285,3.4,0.3,0.13,0.302,0.309,88.3,20.7,36.4,6.1,34.0,78.103157273,69.6,17.4,30.0,52.9,47.1,82.6,43.8,38.7,5.6,77.0,30.0,47.3,59.8,35.6,28.7,25.1,10.5,38.5,9.0,7.686003295873657,-0.2945687135711543,1.69004455786758,1549.0,722.0,381.0,446.0,7.0,3.65,R,3.0,30.049200007352397,19.1186000005442,0.2831219999786339,0.5743999995768001,39.1,1.1,2.0,4-Seam Fastball,"4-Seam Fastball 47% (20% whiff), Split-Finger 29% (39% whiff), Slider 25% (38% whiff)",94.3,94.3,,2.5457714661242736,118.0,87.0,2.0,87.0,0.0,Left knee inflammation,87.0,106.0,89.4,104.6,10.35594211837205,9.703703703703704,1,21,0.0,,,2.7,10.318639572596636,5.2,False,10.397080268717525,0.25694567882797126,10.654025947545497,18.0,1.0,192.0,84,43,BAMBI,0.0,192.0,-50.0,-35.0,74.0,30.0,178.0,105.0,let go,,7.0
674841,Andrew Alvarez,2026,1999-06-13,L,Washington Nationals,24,16,108.0,107,48,38,88,5,0,0,0,1,2,2,6,3.17,1.26,450,1756,4,0.131,0.262,16.26,0.0,0.29,193.0,12.0625,1.787037037037037,27.0,True,andrew alvarez,27.0,450.0,23.8,10.7,0.242,0.364,0.288,0.31,4.07,0.329,0.121,0.322,0.356,89.1,8.7,32.5,5.5,39.7,77.906445724,61.8,11.1,29.8,51.6,48.4,88.9,44.8,37.0,6.7,68.6,26.2,44.1,54.9,49.7,18.5,26.4,5.5,45.2,11.0,2.1162701415865675,7.122569022967825,1.5290914128379642,1756.0,742.0,919.0,95.0,4.0,3.17,L,4.0,24.510759491515785,20.625316457066177,0.33262658232647013,0.28291139247716707,35.0,1.1,2.0,Curveball,"Curveball 31% (32% whiff), 4-Seam Fastball 28% (12% whiff), Slider 22% (35% whiff), Sinker 15% (17% whiff)",92.3,92.3,91.8,5.661263557138163,102.0,0.0,0.0,0.0,0.0,,0.0,98.8,80.0,96.5,9.186304610305148,12.0625,1,21,0.0,,,3.5,9.798721479903573,,False,9.630853616889805,-0.0,9.630853616889805,17.0,1.0,164.0,115,96,BAMBI,0.0,164.0,-78.0,-63.0,67.0,46.0,197.0,107.0,let go,,8.0
527048,Martín Pérez,2026,1991-04-04,L,Atlanta Braves,30,26,142.0,102,62,48,119,14,0,0,0,0,0,9,9,3.04,1.27,596,2244,6,0.067,0.211,15.8,0.0,0.254,220.0,8.461538461538462,1.5492957746478873,35.2,True,martin perez,35.0,596.0,17.1,10.4,0.262,0.386,0.298,0.326,4.54,0.342,0.124,0.309,0.347,87.9,9.4,34.0,4.7,35.0,76.464463636,61.8,13.4,27.4,35.3,64.7,86.6,45.2,46.3,5.7,76.0,21.1,43.0,60.1,47.6,21.4,24.9,6.1,47.6,10.0,3.189834765826346,1.31832265004198,5.072672017911801,2244.0,1383.0,163.0,698.0,6.0,3.04,L,3.0,19.91274175308507,18.026507396837864,0.3286200227544254,0.576791808611632,35.0,0.8,2.0,Sinker,"Sinker 35% (8% whiff), Changeup 31% (35% whiff), Cutter 22% (18% whiff)",89.9,89.9,89.3,3.3494457908853006,84.0,16.0,1.0,172.0,0.0,Left forearm contusion,100.3,91.1,103.8,91.6,8.489364042879204,12.885416666666668,6,136,-4.423878205128206,-6.800000000000011,0.30000000000001137,0.4,8.265469732721224,,False,8.63932777105698,-0.5338913576559428,8.105436413401037,19.0,1.0,154.0,126,194,BAMBI,0.0,154.0,-88.0,-73.0,64.0,54.0,201.0,107.0,let go,,9.0
807739,Kade Anderson,2026,2004-07-06,L,Seattle Mariners,6,6,32.333333333333336,28,8,15,31,4,0,0,0,0,0,2,2,4.18,1.21,131,482,2,0.153,0.235,14.91,0.0,0.297,53.333333333333336,8.88888888888889,1.6494845360824741,22.0,True,kade anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,19.9585365864069,16.809756098750743,0.3149999999390244,-0.5414634135930996,21.7,1.2,1.0,Slider,"4-Seam Fastball 41% (19% whiff), Slider 25% (22% whiff)",,,,2.0211656461871166,214.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0,6,,,,76.6,8.95950347108252,,False,9.159406253908857,0.31334838881459903,9.472754642723457,11.0,1.0,104.0,188,101,BAMBI,0.0,104.0,-138.0,-123.0,51.0,104.0,226.0,87.0,let go,,10.0
660271,Shohei Ohtani,2026,1994-07-05,R,Los Angeles Dodgers,14,14,85.66666666666667,95,26,17,55,4,0,0,0,0,0,8,2,1.79,0.95,340,1335,12,0.203,0.304,15.58,0.0,0.245,211.66666666666669,15.11904761904762,2.470817120622568,32.0,True,shohei ohtani,31.0,340.0,27.9,7.6,0.201,0.287,0.239,0.257,2.75,0.276,0.086,0.276,0.304,87.4,11.2,26.8,3.8,33.8,76.583839906,64.8,19.3,30.0,54.8,45.2,80.7,50.3,43.3,6.2,62.7,30.4,47.5,55.0,52.1,20.2,18.8,8.9,39.9,21.0,10.257295428795144,11.929939277682076,-1.6509064417425465,1335.0,680.0,541.0,114.0,12.0,1.79,R,2.0,31.50385542721498,26.751566260295544,0.24614457829586295,1.8681927683077368,37.7,3.1,2.0,Sweeper,"4-Seam Fastball 45% (27% whiff), Sweeper 29% (38% whiff), Split-Finger 8% (34% whiff)",98.1,98.1,96.5,4.329748282786751,88.0,16.0,1.0,16.0,0.0,,16.0,125.0,101.9,124.7,13.260768412678646,15.11904761904762,5,102,0.0,,,1.3,13.51829898882901,6.12,False,13.134496064596027,-0.31334838881459903,12.821147675781427,22.0,1.0,282.0,20,7,BB,757.0,1039.0,797.0,812.0,297.0,1.0,1.0,0.0,lock,pitcher,1.0
656302,Dylan Cease,2026,1995-12-28,R,Toronto Blue Jays,29,29,169.0,239,78,45,108,11,1,1,0,0,0,11,6,2.4,1.1,685,2895,15,0.235,0.333,17.13,0.0,0.275,441.0,15.206896551724139,2.6094674556213016,30.5,True,dylan cease,30.0,685.0,34.9,11.4,0.192,0.291,0.253,0.265,2.92,0.288,0.099,0.321,0.343,85.5,13.5,34.5,5.5,31.5,72.909152099,64.9,23.4,31.8,48.2,51.8,76.6,42.5,39.9,6.0,71.3,33.3,45.8,62.2,42.5,23.0,23.6,11.0,42.7,36.0,11.113382792419301,21.638206423453525,3.407265556585901,2895.0,1299.0,1264.0,332.0,15.0,2.4,R,3.0,33.578504664389904,24.62419522157739,0.2624600208023882,1.505815159055996,50.0,3.0,3.0,Slider,"4-Seam Fastball 37% (26% whiff), Slider 30% (44% whiff), Changeup 12% (50% whiff), Curveball 10% (25% whiff), Sinker 8% (14% whiff)",97.0,97.0,95.9,6.689255602490356,4.0,15.0,1.0,15.0,0.0,Left hamstring strain,15.0,127.9,94.3,126.6,13.54069285887528,15.206896551724139,6,191,0.0,11.400000000000006,-0.09999999999999432,1.6,13.558071103499717,5.83,False,13.280856821997771,-0.2193438721702193,13.061512949827552,28.0,1.0,366.0,3,5,BB,0.0,366.0,124.0,139.0,120.0,3.0,68.0,16.0,lock,,2.0
669302,Logan Gilbert,2026,1997-05-05,R,Seattle Mariners,30,30,178.0,194,46,73,143,28,0,0,0,0,0,12,10,3.69,1.06,713,2841,14,0.208,0.305,15.96,0.0,0.266,355.0,11.833333333333334,1.9943820224719102,29.2,True,logan gilbert,29.0,713.0,27.2,6.5,0.227,0.386,0.297,0.294,3.63,0.284,0.158,0.376,0.371,89.6,16.5,36.3,10.1,41.0,79.052558821,69.1,21.2,32.6,49.2,50.8,78.8,48.7,41.7,7.3,77.3,30.5,50.4,67.3,39.3,28.8,23.8,8.2,42.1,14.0,8.1603346927089,5.321024745270508,0.35904032254151286,2841.0,1300.0,919.0,621.0,14.0,3.69,R,3.0,30.34648594670792,20.629819276225987,0.29942369464805,0.5256024078778971,40.5,0.9,3.0,Slider,"4-Seam Fastball 40% (23% whiff), Slider 25% (37% whiff), Split-Finger 14% (40% whiff), Changeup 7% (33% whiff), Sweeper 7% (36% whiff), Cutter 6% (16% whiff)",96.3,96.3,93.0,3.3238287000973807,15.0,0.0,0.0,51.0,0.0,,30.599999999999998,113.8,109.8,114.8,11.829124250103357,13.686868686868685,6,176,-1.8535353535353511,-0.9000000000000057,0.8999999999999915,0.4,11.761535138340943,5.93,False,11.706736767134624,-0.13787329107842353,11.5688634760562,26.0,1.0,301.0,14,25,BB,0.0,301.0,59.0,74.0,103.0,6.0,107.0,38.0,clear keep,,3.0
801139,Payton Tolle,2026,2002-11-01,L,Boston Red Sox,25,25,143.0,166,38,48,115,15,0,0,0,0,0,9,6,3.02,1.07,575,2191,13,0.223,0.281,15.32,0.0,0.286,313.0,12.52,2.1888111888111887,23.7,True,payton tolle,23.0,575.0,28.9,6.6,0.196,0.312,0.282,0.253,2.66,0.255,0.115,0.362,0.316,87.6,17.9,30.9,6.3,34.7,76.287633258,72.3,21.2,36.5,43.4,56.6,78.8,52.7,43.0,8.0,82.9,28.1,55.4,65.9,37.4,27.3,22.7,12.6,38.0,16.0,14.685351034421705,2.0960412386034606,-0.5756524151508045,2191.0,1922.0,204.0,65.0,13.0,3.02,L,3.0,27.742636465117876,23.977239961988715,0.25525849633261183,0.6933058705734053,43.4,1.8,3.0,Cutter,"4-Seam Fastball 45% (30% whiff), Sinker 23% (17% whiff), Cutter 20% (28% whiff), Curveball 10% (43% whiff)",96.1,96.1,95.0,2.189355613945107,33.0,0.0,0.0,0.0,0.0,,0.0,114.2,114.9,116.0,12.010663025842485,12.52,1,28,0.0,,,38.8,12.587722983026808,5.72,False,12.15163279396675,0.2068099366176354,12.358442730584384,24.0,1.0,297.0,15,11,BB,0.0,297.0,55.0,70.0,102.0,6.0,111.0,40.0,clear keep,,4.0
693433,Bryan Woo,2026,2000-01-30,R,Seattle Mariners,29,29,167.66666666666666,167,36,73,145,18,0,0,0,0,0,12,9,3.92,1.08,684,2561,16,0.192,0.249,15.27,0.0,0.279,325.66666666666663,11.229885057471263,1.9423459244532801,26.4,True,bryan woo,26.0,684.0,24.4,5.3,0.238,0.384,0.281,0.293,3.6,0.285,0.145,0.343,0.36,89.4,16.4,35.9,7.0,42.8,78.600665297,71.1,16.4,34.5,43.5,56.5,83.6,51.3,44.4,7.3,79.0,24.9,53.3,68.9,38.6,27.6,23.8,9.9,38.2,21.0,17.296892697025,-1.9426771430794152,5.881231415325579,2561.0,1693.0,704.0,164.0,16.0,3.92,R,4.0,24.49928644485583,19.12313966022865,0.2969418958912238,0.8985728859399957,34.7,3.7,3.0,Changeup,"4-Seam Fastball 47% (25% whiff), Sinker 19% (12% whiff), Slider 15% (33% whiff), Sweeper 11% (35% whiff), Changeup 6% (20% whiff)",96.1,96.1,95.9,1.9703131603789559,28.0,0.0,0.0,60.0,0.0,,18.0,104.9,121.7,107.6,10.800707554053437,13.588888888888887,4,99,-2.359003831417624,-5.699999999999989,0.3999999999999915,0.3,11.353162328620598,5.78,False,11.054348878763042,0.03760180665775197,11.091950685420795,25.0,1.0,277.0,21,33,BB,0.0,277.0,35.0,50.0,97.0,8.0,119.0,59.0,clear keep,pitcher,5.0
701656,Logan Henderson,2026,2002-03-02,R,Milwaukee Brewers,17,17,93.33333333333333,107,16,26,60,14,0,0,0,0,0,10,3,2.51,0.81,349,1418,7,0.261,0.27,15.19,0.0,0.219,202.33333333333331,11.901960784313724,2.1678571428571427,24.3,True,logan henderson,24.0,349.0,30.7,4.6,0.203,0.348,0.249,0.257,2.75,0.242,0.145,0.334,0.347,88.5,21.1,32.9,8.9,38.2,77.317711532,71.6,22.0,32.3,40.0,60.0,78.0,54.2,40.8,9.9,79.3,27.0,53.6,68.8,32.0,30.7,25.3,12.0,41.3,16.0,11.91733792236287,-1.3810135766701543,5.234262197544121,1418.0,872.0,44.0,502.0,7.0,2.51,R,3.0,27.144891639489497,20.843653249606852,0.24927554183506026,1.3399380796493146,37.8,2.0,3.0,4-Seam Fastball,"4-Seam Fastball 46% (21% whiff), Changeup 35% (38% whiff), Cutter 16% (21% whiff)",93.1,93.1,,5.928625094399851,96.0,44.0,1.0,95.0,0.0,,74.6,113.2,105.9,114.1,11.733891920851372,11.901960784313724,1,22,0.0,,,8.8,12.540826690170153,5.49,False,12.003609795042143,0.16920812995988344,12.172817925002027,21.0,1.0,256.0,30,17,BB,0.0,256.0,14.0,29.0,91.0,11.0,136.0,72.0,marginal,,6.0
607192,Tyler Glasnow,2026,1993-08-23,R,Los Angeles Dodgers,12,12,67.66666666666667,87,23,26,42,7,0,0,0,0,0,5,1,3.46,0.96,264,1058,6,0.242,0.312,15.64,0.0,0.241,152.66666666666669,12.722222222222223,2.2561576354679804,32.9,True,tyler glasnow,32.0,264.0,33.0,8.7,0.194,0.335,0.251,0.266,2.95,0.264,0.141,0.326,0.353,90.3,16.1,32.7,8.5,39.2,81.286114079,57.9,14.9,29.2,58.7,41.3,85.1,46.0,38.3,7.5,65.8,31.2,42.4,59.8,41.2,28.8,24.2,5.9,40.5,13.0,6.671988881164977,6.369130333677223,,1058.0,593.0,465.0,0.0,6.0,3.46,R,4.0,30.468068073301026,25.20110110169729,0.25907707706075245,1.4481481489563637,51.1,2.6,4.0,Slider,"4-Seam Fastball 33% (14% whiff), Curveball 27% (51% whiff), Sinker 22% (24% whiff), Slider 18% (38% whiff)",95.8,95.4,95.8,4.916800918831185,136.0,109.0,1.0,263.0,0.0,Low back spasms,176.79999999999998,116.8,87.1,115.2,11.88701564321781,15.785714285714286,5,87,-3.0634920634920633,4.099999999999994,-0.20000000000000284,0.2,12.731099683051607,5.64,False,12.157356745702803,-0.36975109880122675,11.787605646901575,20.0,1.0,236.0,40,21,BB,0.0,236.0,-6.0,9.0,86.0,15.0,145.0,81.0,let go,,7.0
669432,Trevor Rogers,2026,1997-11-13,L,Baltimore Orioles,29,29,165.66666666666666,153,39,75,157,19,0,0,0,0,0,10,11,4.07,1.18,682,2634,15,0.167,0.243,15.9,0.0,0.295,303.66666666666663,10.47126436781609,1.8329979879275653,28.6,True,trevor rogers,28.0,682.0,22.4,5.7,0.237,0.381,0.304,0.291,3.55,0.284,0.144,0.365,0.348,88.1,17.9,31.6,6.6,36.1,77.005614333,69.4,17.1,35.3,39.5,60.5,82.9,51.8,46.0,8.2,65.9,24.3,53.0,69.5,39.6,24.8,24.2,11.3,36.3,6.0,14.288982770922756,2.6405070968345576,-11.423528435147137,2634.0,1716.0,378.0,540.0,15.0,4.07,L,4.0,23.751799996040997,16.536199996219004,0.297152999959235,0.28869999955649994,30.8,1.2,4.0,Sweeper,"4-Seam Fastball 46% (24% whiff), Changeup 21% (23% whiff), Sweeper 14% (31% whiff), Sinker 10% (14% whiff), Cutter 9% (23% whiff)",93.8,93.8,93.4,3.860122950319057,37.0,16.0,1.0,201.0,0.0,Illness,127.0,99.5,122.6,102.5,10.05944707091008,14.037037037037038,5,124,-3.565772669220948,-11.299999999999997,0.7999999999999972,0.3,10.30080637034333,5.71,False,10.252677816460205,-0.10027148442067177,10.152406332039533,23.0,1.0,234.0,42,65,BB,0.0,234.0,-8.0,7.0,85.0,15.0,151.0,83.0,let go,,8.0
693855,Ian Seymour,2026,1998-12-13,L,Tampa Bay Rays,45,15,127.33333333333333,155,36,62,113,25,0,0,0,2,10,9,7,4.38,1.17,534,2063,6,0.223,0.294,16.2,0.0,0.284,244.33333333333331,16.288888888888888,1.918848167539267,27.5,True,ian seymour,27.0,534.0,29.0,6.7,0.221,0.402,0.317,0.295,3.65,0.276,0.181,0.421,0.386,88.3,20.5,34.6,10.4,37.3,77.199485152,67.4,20.7,35.3,46.3,53.7,79.3,50.5,42.8,9.3,78.0,29.4,51.5,66.5,34.6,30.8,23.4,11.2,45.0,2.0,1.6345043767986627,-2.1743699662122795,2.688561701487127,2063.0,909.0,556.0,598.0,6.0,4.38,L,4.0,28.54401621995935,21.24269776540214,0.2959178499111671,0.2194726165341145,39.0,0.6,2.0,Changeup,"Changeup 29% (39% whiff), 4-Seam Fastball 27% (25% whiff), Sweeper 20% (32% whiff), Sinker 15% (10% whiff), Slider 6% (30% whiff)",91.4,91.4,90.0,4.544123937987171,68.0,0.0,0.0,0.0,0.0,,0.0,106.7,107.5,107.8,10.81714527646078,16.288888888888888,1,20,0.0,,,0.3,10.485633594628505,,False,10.682590441951316,-0.0313348388814599,10.651255603069856,17.0,1.0,181.0,96,44,BB,0.0,181.0,-61.0,-46.0,71.0,37.0,185.0,106.0,let go,,9.0
669373,Tarik Skubal,2026,1996-11-20,L,multi,25,25,151.66666666666666,176,27,48,123,14,0,0,0,0,0,11,7,2.85,0.99,597,2281,15,0.25,0.311,15.04,0.0,0.295,339.66666666666663,13.586666666666666,2.2395604395604396,29.6,True,tarik skubal,29.0,597.0,29.5,4.5,0.23,0.345,0.27,0.271,3.06,0.272,0.114,0.357,0.36,87.2,11.9,34.7,6.9,35.5,75.444488579,70.7,21.7,36.4,48.9,51.1,78.3,49.2,44.5,7.5,75.6,31.1,53.3,68.2,45.2,24.4,23.9,6.4,38.0,23.0,12.264734926066591,4.82217166097327,5.660706400828029,2281.0,1264.0,434.0,583.0,15.0,2.85,L,4.0,30.726600007267002,23.3347000130265,0.271886999944565,1.01399999953,46.8,1.9,4.0,Slider,"4-Seam Fastball 37% (24% whiff), Changeup 26% (47% whiff), Sinker 18% (19% whiff), Slider 14% (30% whiff), Curveball 5% (41% whiff)",96.8,96.8,96.7,3.061425180540142,20.0,40.0,1.0,40.0,0.0,,40.0,118.9,122.6,121.5,12.795445904261777,15.81720430107527,6,152,-2.230537634408604,-9.199999999999989,-0.7999999999999972,0.4,13.75820759939071,6.07,False,13.025008441401729,-0.1629411621835916,12.862067279218138,27.0,1.0,347.0,4,6,CH,0.0,347.0,105.0,120.0,115.0,3.0,79.0,18.0,lock,,1.0
