"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Wheeler, Zack",554430,42.4,18.3,25.0,,3.6,10.7,0.0,,,
"Mahle, Tyler",641816,53.1,,5.6,25.6,,,15.8,,,
"Castillo, Luis",622491,28.5,23.6,,17.4,30.5,,,,,
"Buehler, Walker",621111,44.7,7.4,16.0,0.0,4.8,13.2,,,13.9,
"Ray, Robbie",592662,59.2,0.3,,30.8,3.6,6.1,,,,
"Alcantara, Sandy",645261,21.6,28.2,24.0,2.6,23.5,,,,,
"Wainwright, Adam",425794,9.7,28.1,21.6,,6.4,34.1,,,,
"Berríos, José",621244,26.1,30.1,,,13.2,,,,,30.5
"Montas, Frankie",593423,30.2,28.1,7.2,12.3,,,22.2,,,
"Gausman, Kevin",592332,52.6,0.2,,6.2,5.6,,35.5,,,
"Morton, Charlie",450203,36.4,13.0,8.4,,5.3,36.8,,,,
"Manaea, Sean",640455,0.7,59.4,,14.9,24.3,,,,0.7,
"Nola, Aaron",605400,37.5,14.1,1.5,,19.8,27.0,,,,
"Giolito, Lucas",608337,43.9,,,21.6,31.8,2.7,,,,
"Cole, Gerrit",543037,47.2,0.8,,22.2,14.2,15.7,,,,
"Lyles, Jordan",543475,39.3,9.1,2.8,9.2,7.2,18.2,,,14.2,
"Cease, Dylan",656302,46.9,,,30.0,7.2,15.2,,,0.7,
"Musgrove, Joe",605397,20.4,5.1,18.2,27.8,4.8,23.8,,,,
"Eovaldi, Nathan",543135,42.3,,12.6,13.7,,18.8,12.6,,,
"Gibson, Kyle",502043,12.6,34.1,15.0,14.6,13.4,8.9,,,1.6,
"Scherzer, Max",453286,46.7,,9.8,18.8,14.9,9.8,,,,
"Flexen, Chris",623167,40.0,0.1,29.3,1.2,15.3,14.1,,,,
"Woodruff, Brandon",605540,33.5,26.9,,8.4,14.1,17.1,,,,
"Hendricks, Kyle",543294,18.0,42.6,,,27.7,11.7,,,,
